c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000011	atom	Wikidata:Q59310616	atom	CORE:0000006	material entity	Wikidata:Q17517379	animated short film	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom	
CORE:0000011	atom	Wikidata:Q9161734	Atom	CORE:0000006	material entity	Wikidata:Q215380	band	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom	
CORE:0000012	atomic nucleus	Wikidata:Q37147	atomic nucleus	CORE:0000007	subatomic particle	Wikidata:Q22675015	type of quantum particle	high	atomic nucleus					
CORE:0000013	molecular entity	Wikidata:Q56611102	molecular entity	CORE:0000006	material entity	Wikidata:Q13442814	scholarly article	high	molecular entity					
CORE:0000015	protein	Wikidata:Q8054	protein	CORE:0000014	macromolecular entity	Wikidata:Q17339814|Wikidata:Q24017414	group or class of chemical substances|first-order metaclass	high	protein					
CORE:0000017	cell	Wikidata:Q17050502	Cell	CORE:0000006	material entity	Wikidata:Q11424	film	low	cell			Wikidata:Q3664265|Wikidata:Q469889|Wikidata:Q655814|Wikidata:Q7868|Wikidata:Q859351	Cell|Cell|Cell|Cell|Cell	
CORE:0000017	cell	Wikidata:Q3664265	Cell	CORE:0000006	material entity	Wikidata:Q482994	album	low	cell			Wikidata:Q17050502|Wikidata:Q469889|Wikidata:Q655814|Wikidata:Q7868|Wikidata:Q859351	Cell|Cell|Cell|Cell|Cell	
CORE:0000017	cell	Wikidata:Q469889	Cell	CORE:0000006	material entity	Wikidata:Q47461344	written work	low	cell			Wikidata:Q17050502|Wikidata:Q3664265|Wikidata:Q655814|Wikidata:Q7868|Wikidata:Q859351	Cell|Cell|Cell|Cell|Cell	
CORE:0000017	cell	Wikidata:Q655814	Cell	CORE:0000006	material entity	Wikidata:Q5253501|Wikidata:Q5633421	delayed open access journal|scientific journal	low	cell			Wikidata:Q17050502|Wikidata:Q3664265|Wikidata:Q469889|Wikidata:Q7868|Wikidata:Q859351	Cell|Cell|Cell|Cell|Cell	
CORE:0000017	cell	Wikidata:Q7868	Cell	CORE:0000006	material entity	Wikidata:Q189118|Wikidata:Q5058355	cell type|cellular component	low	cell			Wikidata:Q17050502|Wikidata:Q3664265|Wikidata:Q469889|Wikidata:Q655814|Wikidata:Q859351	Cell|Cell|Cell|Cell|Cell	
