?x	?xl
<http://purl.obolibrary.org/obo/ENVO_3100020>	"concentration of methane in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01001132>	"hot Neptune"@en
<http://purl.obolibrary.org/obo/ENVO_03000038>	"cryoconite deposit"@en
<http://purl.obolibrary.org/obo/ENVO_01001018>	"hypereutrophic water"@en
<http://purl.obolibrary.org/obo/ENVO_03000073>	"multiyear ice"@en
<http://purl.obolibrary.org/obo/ENVO_02000041>	"lymph material"
<http://purl.obolibrary.org/obo/ENVO_01000556>	"biogas"@en
<http://purl.obolibrary.org/obo/ENVO_01000017>	"sand"
<http://purl.obolibrary.org/obo/ENVO_01000462>	"masonry cement"
<http://purl.obolibrary.org/obo/ENVO_00002194>	"oil field production water"
<http://purl.obolibrary.org/obo/ENVO_3200015>	"concentration of samarium in lake water"
<http://purl.obolibrary.org/obo/ENVO_01000814>	"solid environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_01001134>	"super-Earth"@en
<http://purl.obolibrary.org/obo/ENVO_01001682>	"air mass"@en
<http://purl.obolibrary.org/obo/ENVO_01001814>	"organic object"@en
<http://purl.obolibrary.org/obo/ENVO_02000047>	"animal feed"
<http://purl.obolibrary.org/obo/ENVO_01001529>	"glacier snout"@en
<http://purl.obolibrary.org/obo/ENVO_01001564>	"rain"@en
<http://purl.obolibrary.org/obo/ENVO_00002239>	"calcisol"
<http://purl.obolibrary.org/obo/ENVO_01000317>	"aquatic environment"
<http://purl.obolibrary.org/obo/ENVO_01000480>	"glass"
<http://purl.obolibrary.org/obo/ENVO_00005739>	"sea foam"
<http://purl.obolibrary.org/obo/ENVO_09000007>	"concentration of carbon atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_01001152>	"mesoplanet"@en
<http://purl.obolibrary.org/obo/ENVO_01000380>	"oceanic temperate"
<http://purl.obolibrary.org/obo/ENVO_00005752>	"sawah soil"
<http://purl.obolibrary.org/obo/ENVO_00003064>	"drinking water"
<http://purl.obolibrary.org/obo/ENVO_01000358>	"acidic water"
<http://purl.obolibrary.org/obo/ENVO_09200013>	"wetness of soil"
<http://purl.obolibrary.org/obo/ENVO_00003087>	"acetamide enriched soil"
<http://purl.obolibrary.org/obo/ENVO_00010506>	"emulsion"
<http://purl.obolibrary.org/obo/ENVO_01001495>	"dioxygen dissolved in marine water"@en
<http://purl.obolibrary.org/obo/ENVO_01000834>	"water raindrop"@en
<http://purl.obolibrary.org/obo/ENVO_00005758>	"alluvial swamp soil"
<http://purl.obolibrary.org/obo/ENVO_00002233>	"albeluvisol"
<http://purl.obolibrary.org/obo/ENVO_00005802>	"bulk soil"
<http://purl.obolibrary.org/obo/ENVO_01000311>	"cultivated environment"
<http://purl.obolibrary.org/obo/ENVO_00005799>	"rocky sand"
