?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00003020>	"adult prothoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00003455>	"abdominal 1 lateral tergosternal muscle 103"
<http://purl.obolibrary.org/obo/FBbt_00004829>	"terminalia"
<http://purl.obolibrary.org/obo/FBbt_00047856>	"larval neuropil glial cell"
<http://purl.obolibrary.org/obo/FBbt_00040056>	"posterior maxillary sensory center"
<http://purl.obolibrary.org/obo/FBbt_00000560>	"metathoracic ventral acute muscle 1"
<http://purl.obolibrary.org/obo/FBbt_00005917>	"lymph gland derived hemocyte"
<http://purl.obolibrary.org/obo/FBbt_00005510>	"antennal primordium"
<http://purl.obolibrary.org/obo/FBbt_00000268>	"embryonic/larval dorsal branch 3"
<http://purl.obolibrary.org/obo/FBbt_00003238>	"abdominal 3 dorsal adult muscle precursor cell"
<http://purl.obolibrary.org/obo/FBbt_00003005>	"adult tagma"
<http://purl.obolibrary.org/obo/FBbt_00003160>	"adult heart chamber 4"
<http://purl.obolibrary.org/obo/FBbt_00111265>	"cell body rind of larval thorax"
<http://purl.obolibrary.org/obo/FBbt_00005791>	"transitional segment of Malpighian tubule"
<http://purl.obolibrary.org/obo/FBbt_00004528>	"anterior plate of cibarium"
<http://purl.obolibrary.org/obo/FBbt_00000433>	"posterior spiracle retractor muscle"
<http://purl.obolibrary.org/obo/FBbt_00004450>	"late extended germ band embryo"
<http://purl.obolibrary.org/obo/FBbt_00000200>	"metathoracic tracheal pit"
<http://purl.obolibrary.org/obo/FBbt_00003627>	"protocerebrum"
<http://purl.obolibrary.org/obo/FBbt_00005336>	"hemocyte-derived cell-line"
<http://purl.obolibrary.org/obo/FBbt_00003355>	"prothoracic tibial levator muscle 39"
<http://purl.obolibrary.org/obo/FBbt_00001200>	"dorsal abdominal es3"
<http://purl.obolibrary.org/obo/FBbt_00047058>	"mushroom body core layer of alpha lobe slice 2"
<http://purl.obolibrary.org/obo/FBbt_00050053>	"neuroblast CLp2"
<http://purl.obolibrary.org/obo/FBbt_00004192>	"corneagenous cell"
<http://purl.obolibrary.org/obo/FBbt_00000550>	"mesothoracic ventral longitudinal muscle 2"
<http://purl.obolibrary.org/obo/FBbt_00008119>	"metathoracic leg disc anterior compartment"
