?x	?xl
<http://purl.obolibrary.org/obo/PO_0000309>	"nectary parenchyma"
<http://purl.obolibrary.org/obo/PO_0005051>	"hypodermis"
<http://purl.obolibrary.org/obo/PO_0007030>	"seedling shoot emergence stage"
<http://purl.obolibrary.org/obo/PO_0005427>	"sclerenchyma"
<http://purl.obolibrary.org/obo/PO_0020147>	"root apical meristem"
<http://purl.obolibrary.org/obo/PO_0000146>	"abscission zone"
<http://purl.obolibrary.org/obo/PO_0007049>	"cotyledon emergence stage"
<http://purl.obolibrary.org/obo/PO_0005060>	"leaf endodermis"
<http://purl.obolibrary.org/obo/PO_0025620>	"metaxylem vessel"
<http://purl.obolibrary.org/obo/PO_0007527>	"2 root meristem formation stage"
<http://purl.obolibrary.org/obo/PO_0005001>	"basal axillary shoot system"
<http://purl.obolibrary.org/obo/PO_0025511>	"petal spur"
<http://purl.obolibrary.org/obo/PO_0030131>	"rhipidium inflorescence"
<http://purl.obolibrary.org/obo/PO_0025093>	"spore capsule annulus"
<http://purl.obolibrary.org/obo/PO_0001008>	"C callose wall formation in pollen mother cells stage"
<http://purl.obolibrary.org/obo/PO_0001017>	"M germinated pollen stage"
<http://purl.obolibrary.org/obo/PO_0025450>	"primary xylem vessel"
<http://purl.obolibrary.org/obo/PO_0025043>	"shoot axis tuber periderm"
<http://purl.obolibrary.org/obo/PO_0004533>	"axial secondary xylem parenchyma"
<http://purl.obolibrary.org/obo/PO_0025292>	"embryo epicotyl"
<http://purl.obolibrary.org/obo/PO_0025314>	"microsporangium tapetum"
<http://purl.obolibrary.org/obo/PO_0005031>	"microsporangiate strobilus"
<http://purl.obolibrary.org/obo/PO_0002000>	"stomatal complex"
<http://purl.obolibrary.org/obo/PO_0007090>	"SE.13 thirteen nodes or internodes visible stage"
<http://purl.obolibrary.org/obo/PO_0007625>	"C tetrad of megaspores stage"
<http://purl.obolibrary.org/obo/PO_0025113>	"third order infructescence axis"
<http://purl.obolibrary.org/obo/PO_0006063>	"plant ovary epidermis"
<http://purl.obolibrary.org/obo/PO_0008042>	"stem internode differentiation zone"
<http://purl.obolibrary.org/obo/PO_0005039>	"primary thickening meristem"
<http://purl.obolibrary.org/obo/PO_0025593>	"shoot-borne internode root"
<http://purl.obolibrary.org/obo/PO_0020046>	"palmate leaf"
<http://purl.obolibrary.org/obo/PO_0006371>	"upper glume of ear spikelet"
<http://purl.obolibrary.org/obo/PO_0000055>	"bud"
<http://purl.obolibrary.org/obo/PO_0025252>	"seventh order infructescence axis"
<http://purl.obolibrary.org/obo/PO_0025429>	"leaf plate meristem"
<http://purl.obolibrary.org/obo/PO_0006034>	"leaflet margin"
<http://purl.obolibrary.org/obo/PO_0008013>	"anther vascular system"
<http://purl.obolibrary.org/obo/PO_0001024>	"rapid elongation of leaf sheath stage"
<http://purl.obolibrary.org/obo/PO_0025050>	"tuber interfascicular region"
<http://purl.obolibrary.org/obo/PO_0006342>	"infructescence"
<http://purl.obolibrary.org/obo/PO_0025223>	"vegetative shoot apex"
<http://purl.obolibrary.org/obo/PO_0025341>	"gametophyte reproductive stage"
<http://purl.obolibrary.org/obo/PO_0020030>	"cotyledon"
<http://purl.obolibrary.org/obo/PO_0006351>	"lower floret of sessile spikelet of ear"
<http://purl.obolibrary.org/obo/PO_0006077>	"protophloem"
<http://purl.obolibrary.org/obo/PO_0009100>	"involucre"
<http://purl.obolibrary.org/obo/PO_0030118>	"compound spike inflorescence"
<http://purl.obolibrary.org/obo/PO_0030096>	"circumscissile capsule fruit"
<http://purl.obolibrary.org/obo/PO_0025349>	"awn"
<http://purl.obolibrary.org/obo/PO_0020038>	"petiole"
<http://purl.obolibrary.org/obo/PO_0009006>	"shoot system"
<http://purl.obolibrary.org/obo/PO_0007130>	"sporophyte reproductive stage"
<http://purl.obolibrary.org/obo/PO_0006385>	"lower glume of pedicellate spikelet of tassel"
<http://purl.obolibrary.org/obo/PO_0009082>	"spikelet floret"
<http://purl.obolibrary.org/obo/PO_0025484>	"petal anlagen"
<http://purl.obolibrary.org/obo/PO_0006020>	"lateral root apical meristem"
<http://purl.obolibrary.org/obo/PO_0025099>	"embryo plant structure"
<http://purl.obolibrary.org/obo/PO_0003000>	"transition zone"
<http://purl.obolibrary.org/obo/PO_0006322>	"third order inflorescence axis"
<http://purl.obolibrary.org/obo/PO_0008005>	"fruit nucellus"
<http://purl.obolibrary.org/obo/PO_0025532>	"bud burst stage"
<http://purl.obolibrary.org/obo/PO_0009042>	"prophyll"
<http://purl.obolibrary.org/obo/PO_0001056>	"lemma differentiation and expansion stage"
<http://purl.obolibrary.org/obo/PO_0000016>	"lateral root primordium"
<http://purl.obolibrary.org/obo/PO_0030043>	"peristome tooth"
<http://purl.obolibrary.org/obo/PO_0007101>	"LP.09 nine leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0008039>	"stem base"
<http://purl.obolibrary.org/obo/PO_0006050>	"exotesta"
<http://purl.obolibrary.org/obo/PO_0006069>	"petal parenchyma"
<http://purl.obolibrary.org/obo/PO_0025048>	"subterranean tuber epidermis"
<http://purl.obolibrary.org/obo/PO_0007109>	"SE.99 maximum stem length reached stage"
<http://purl.obolibrary.org/obo/PO_0006000>	"caryopsis hull"
<http://purl.obolibrary.org/obo/PO_0025470>	"plant embryo cotyledon"
<http://purl.obolibrary.org/obo/PO_0025085>	"strobilus bud"
<http://purl.obolibrary.org/obo/PO_0006502>	"floral organ abscission zone"
<http://purl.obolibrary.org/obo/PO_0009013>	"portion of meristem tissue"
<http://purl.obolibrary.org/obo/PO_0004504>	"ovule differentiation and expansion stage"
<http://purl.obolibrary.org/obo/PO_0006008>	"anther wall inner secondary parietal cell layer"
<http://purl.obolibrary.org/obo/PO_0025478>	"androecium primordium"
<http://purl.obolibrary.org/obo/PO_0007601>	"floral organ meristem development stage"
<http://purl.obolibrary.org/obo/PO_0025155>	"bract base"
<http://purl.obolibrary.org/obo/PO_0025306>	"sporangium wall"
<http://purl.obolibrary.org/obo/PO_0030035>	"antheridium stalk"
<http://purl.obolibrary.org/obo/PO_0025203>	"pericarp vascular bundle"
<http://purl.obolibrary.org/obo/PO_0007620>	"ovule primordium visible stage"
<http://purl.obolibrary.org/obo/PO_0000037>	"shoot axis apex"
<http://purl.obolibrary.org/obo/PO_0009106>	"tassel meristem"
<http://purl.obolibrary.org/obo/PO_0030105>	"follicle fruit"
<http://purl.obolibrary.org/obo/PO_0025388>	"epicuticular wax"
<http://purl.obolibrary.org/obo/PO_0004511>	"seed trichome"
<http://purl.obolibrary.org/obo/PO_0009034>	"flower bract"
<http://purl.obolibrary.org/obo/PO_0025497>	"collective plant structure"
<http://purl.obolibrary.org/obo/PO_0025436>	"root cork cambium"
<http://purl.obolibrary.org/obo/PO_0025152>	"peduncle epidermis"
<http://purl.obolibrary.org/obo/PO_0005017>	"flower vascular system"
<http://purl.obolibrary.org/obo/PO_0007098>	"LP.02 two leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025571>	"multi-tissue plant structure development stage"
<http://purl.obolibrary.org/obo/PO_0025186>	"phyllome trichome"
<http://purl.obolibrary.org/obo/PO_0020024>	"endothelium"
<http://purl.obolibrary.org/obo/PO_0006369>	"lower glume of ear spikelet"
<http://purl.obolibrary.org/obo/PO_0019022>	"arilloid"
<http://purl.obolibrary.org/obo/PO_0007008>	"IE.02 1/2 of inflorescence emerged from flag leaf sheath stage"
<http://purl.obolibrary.org/obo/PO_0025579>	"phyllome development stage"
<http://purl.obolibrary.org/obo/PO_0009089>	"endosperm"
<http://purl.obolibrary.org/obo/PO_0025361>	"leaf tendril"
<http://purl.obolibrary.org/obo/PO_0025250>	"leaf sheath abaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0025369>	"seed trichome development stage"
